	feynman-bonus.18	feynman-bonus.8	feynman-i.10.7	feynman-i.11.19	feynman-i.12.1	feynman-i.12.11	feynman-i.12.2	feynman-i.12.4	feynman-i.12.5	feynman-i.13.12	feynman-i.13.4	feynman-i.14.3	feynman-i.14.4	feynman-i.15.10	feynman-i.16.6	feynman-i.18.12	feynman-i.18.16	feynman-i.18.4	feynman-i.24.6	feynman-i.25.13	feynman-i.26.2	feynman-i.27.6	feynman-i.29.4	feynman-i.30.5	feynman-i.32.5	feynman-i.34.10	feynman-i.34.27	feynman-i.34.8	feynman-i.38.12	feynman-i.39.10	feynman-i.39.11	feynman-i.43.16	feynman-i.43.31	feynman-i.43.43	feynman-i.47.23	feynman-i.48.2	feynman-i.8.14	feynman-ii.10.9	feynman-ii.11.3	feynman-ii.13.17	feynman-ii.15.4	feynman-ii.15.5	feynman-ii.2.42	feynman-ii.21.32	feynman-ii.27.16	feynman-ii.27.18	feynman-ii.3.24	feynman-ii.34.11	feynman-ii.34.2	feynman-ii.34.29a	feynman-ii.34.29b	feynman-ii.34.2a	feynman-ii.37.1	feynman-ii.38.14	feynman-ii.38.3	feynman-ii.4.23	feynman-ii.6.11	feynman-ii.8.31	feynman-ii.8.7	feynman-iii.12.43	feynman-iii.13.18	feynman-iii.14.14	feynman-iii.15.12	feynman-iii.15.14	feynman-iii.15.27	feynman-iii.17.37	feynman-iii.19.51	feynman-iii.4.32	feynman-iii.7.38	feynman-iii.8.54
epoch20_gc01					1.0			10.0	1.0			0.0	6.0			28.0	6.0			2.0	36.0	85.0		90.0								7.0			7.0			2.0		5.0	139.0	77.0	10.0		4.0	53.0	0.0	30.0			5.0			2.0	6.0	6.0		4.0		31.0					8.0				23.0	
epoch20_gc01					0.3333333333333333			1.0	0.3333333333333333			0.0	1.0			1.0	1.0			0.4	1.0	1.0		1.0								1.0			0.875			0.25		0.8333333333333334	1.0	1.0	0.9090909090909092		0.8	1.0	0.0	1.0			1.0			0.25	0.8571428571428571	1.0		0.8		1.0					0.8888888888888888				1.0	
epoch100_gc01					1.0			9.0	1.0			0.0	5.0			5.0	6.0			4.0	6.0	9.0		14.0								7.0			7.0			7.0		5.0	6.0	5.0	10.0		4.0	4.0	0.0	8.0			5.0			7.0	6.0	176.0		4.0		36.0					8.0				5.0	
epoch100_gc01					0.3333333333333333			1.0	0.3333333333333333			0.0	0.8333333333333334			1.0	1.0			0.8	0.8571428571428571	0.9		1.0								1.0			0.875			0.875		0.8333333333333334	1.0	0.8333333333333334	0.9090909090909092		0.8	0.8	0.0	1.0			1.0			0.875	0.8571428571428571	1.0		0.8		1.0					0.8888888888888888				1.0	
epoch20_gc01_wc					3.0			6.0	3.0			4.0	6.0			5.0	6.0			5.0	7.0	10.0		9.0								7.0			8.0			8.0		6.0	6.0	6.0	11.0		5.0	5.0	6.0	8.0			5.0			8.0	7.0	6.0		5.0		3.0					9.0				4.0	
epoch20_gc01_wc					1.0			1.0	1.0			1.0	1.0			1.0	1.0			1.0	1.0	1.0		1.0								1.0			1.0			1.0		1.0	1.0	1.0	1.0		1.0	1.0	1.0	1.0			1.0			1.0	1.0	1.0		1.0		1.0					1.0				1.0	
epoch20_gc01_wc					6.0			70.0	7.0			7.0	9.0			21.0	6.0			17.0	26.0	10.0		41.0								7.0			22.0			17.0		102.0	6.0	6.0	442.0		5.0	146.0	46.0	425.0			5.0			14.0	60.0	95.0		18.0		178.0					65.0				48.0	
epoch50_gc01_wc					11.0			24.0	7.0			7.0	22.0			13.0	6.0			33.0	24.0	107.0		230.0								7.0			22.0			72.0		63.0	6.0	104.0	66.0		5.0	153.0	32.0	137.0			5.0			14.0	7.0	189.0		5.0		183.0					65.0				53.0	
epoch50_gc01_wc					1.0			1.0	1.0			1.0	1.0			1.0	1.0			1.0	1.0	1.0		1.0								1.0			1.0			1.0		1.0	1.0	1.0	1.0		1.0	1.0	1.0	1.0			1.0			1.0	1.0	1.0		1.0		1.0					1.0				1.0	
epoch100_gc01_wc					1.0			1.0	1.0			1.0	1.0			1.0	1.0			1.0	1.0	1.0		1.0								1.0			1.0			1.0		1.0	1.0	1.0	1.0		1.0	1.0	1.0	1.0			1.0			1.0	1.0	1.0		1.0		1.0					1.0				1.0	
epoch100_gc01_wc					18.0			15.0	19.0			5.0	68.0			21.0	6.0			33.0	43.0	39.0		399.0								7.0			22.0			17.0		39.0	6.0	89.0	86.0		5.0	33.0	20.0	102.0			5.0			14.0	93.0	91.0		5.0		82.0					65.0				14.0	
epoch100_gc01_wc	83.0	63.0	13.0	35.0		47.0	49.0			15.0	213.0			38.0	26.0			55.0	20.0				2.0		23.0	263.0	149.0	7.0	80.0	7.0	119.0		18.0	37.0		12.0	22.0		18.0					34.0					38.0	6.0		7.0	82.0				39.0		25.0		72.0	49.0	11.0	8.0		161.0	486.0	31.0		39.0
epoch50_gc01_wc	1.0	1.0	1.0	1.0		1.0	1.0			1.0	1.0			1.0	1.0			1.0	1.0				1.0		1.0	1.0	1.0	1.0	1.0	1.0	1.0		1.0	1.0		1.0	1.0		1.0					1.0					1.0	1.0		1.0	1.0				1.0		1.0		1.0	1.0	1.0	1.0		1.0	1.0	1.0		1.0
epoch20_gc01_wc	1.0	1.0	1.0	1.0		1.0	1.0			1.0	1.0			1.0	1.0			1.0	1.0				1.0		1.0	1.0	1.0	1.0	1.0	1.0	1.0		1.0	1.0		1.0	1.0		1.0					1.0					1.0	1.0		1.0	1.0				1.0		1.0		1.0	1.0	1.0	1.0		1.0	1.0	1.0		1.0
epoch20_gc01_wc	515.0	20.0	13.0	22.0		47.0	49.0			15.0	27.0			12.0	324.0			55.0	337.0				10.0		36.0	34.0	16.0	7.0	8.0	43.0	38.0		24.0	74.0		213.0	24.0		18.0					67.0					174.0	6.0		195.0	253.0				69.0		32.0		97.0	94.0	11.0	8.0		49.0	486.0	20.0		7.0
e2e	155.0	170.0	8.0	10.0		47.0	73.0			15.0	54.0			38.0	324.0			139.0	27.0				2.0		15.0	60.0	80.0	60.0	94.0	5.0	47.0		31.0	152.0		12.0	21.0		18.0					707.0					5.0	6.0		56.0	82.0				24.0		16.0		48.0	82.0	116.0	80.0		217.0	486.0	82.0		7.0
